,x,y,z,MaximumInscribedSphereRadius,EdgePCoordArray,CenterlineIds,TractIds,Blanking,GroupIds
0,0.0,25.0,0.0,13.01708224294072,0.0,0,0,0,0
1,0.0,24.99613380432129,0.0,12.997159641284224,0.0,0,0,0,0
2,0.0,24.984638214111328,0.0,12.97723703962773,0.0,0,0,0,0
3,0.0,24.965667724609375,0.0,12.957314437971233,0.0,0,0,0,0
4,0.0,24.939380645751953,0.0,12.937391836314736,0.0,0,0,0,0
5,0.0,24.905929565429688,0.0,12.91746923465824,0.0,0,0,0,0
6,0.0,24.8654727935791,0.0,12.897546633001745,0.0,0,0,0,0
7,0.0,24.818166732788086,0.0,12.877624031345249,0.0,0,0,0,0
8,0.0,24.764163970947266,0.0,12.857701429688754,0.0,0,0,0,0
9,0.0,24.70362091064453,0.0,12.837778828032258,0.0,0,0,0,0
10,0.0,24.636695861816406,0.0,12.817856226375763,0.0,0,0,0,0
11,0.0,24.563541412353516,0.0,12.797933624719267,0.0,0,0,0,0
12,0.0,24.48431396484375,0.0,12.77801102306277,0.0,0,0,0,0
13,0.0,24.399171829223633,0.0,12.758088421406274,0.0,0,0,0,0
14,0.0,24.30826759338379,0.0,12.73816581974978,0.0,0,0,0,0
15,0.0,24.21175765991211,0.0,12.718243218093283,0.0,0,0,0,0
16,0.0,24.109798431396484,0.0,12.698320616436787,0.0,0,0,0,0
17,0.0,24.002546310424805,0.0,12.67839801478029,0.0,0,0,0,0
18,0.0,23.890155792236328,0.0,12.658475413123798,0.0,0,0,0,0
19,0.0,23.772781372070312,0.0,12.638552811467301,0.0,0,0,0,0
20,0.0,23.65058135986328,0.0,12.618630209810805,0.0,0,0,0,0
21,0.0,23.523710250854492,0.0,12.598707608154308,0.0,0,0,0,0
22,0.0,23.392324447631836,0.0,12.578785006497814,0.0,0,0,0,0
23,0.0,23.256576538085938,0.0,12.558862404841317,0.0,0,0,0,0
24,0.0,23.116626739501953,0.0,12.538939803184821,0.0,0,0,0,0
25,0.0,22.972627639770508,0.0,12.519017201528326,0.0,0,0,0,0
26,0.0,22.824737548828125,0.0,12.49909459987183,0.0,0,0,0,0
27,0.0,22.67310905456543,0.0,12.479171998215335,0.0,0,0,0,0
28,0.0,22.517900466918945,0.0,12.459249396558839,0.0,0,0,0,0
29,0.0,22.35926628112793,0.0,12.439326794902342,0.0,0,0,0,0
30,0.0,22.19736099243164,0.0,12.419404193245846,0.0,0,0,0,0
31,0.0,22.0323429107666,0.0,12.39948159158935,0.0,0,0,0,0
32,0.0,21.86436653137207,0.0,12.379558989932853,0.0,0,0,0,0
33,0.0,21.693588256835938,0.0,12.35963638827636,0.0,0,0,0,0
34,0.0,21.520160675048828,0.0,12.339713786619864,0.0,0,0,0,0
35,0.0,21.3442440032959,0.0,12.319791184963368,0.0,0,0,0,0
36,0.0,21.165990829467773,0.0,12.299868583306871,0.0,0,0,0,0
37,0.0,20.985557556152344,0.0,12.279945981650378,0.0,0,0,0,0
38,0.0,20.8031005859375,0.0,12.260023379993882,0.0,0,0,0,0
